qp_agent vs log_agent
Agent vs Agent: load vs load
Agent vs Agent: shield vs mirror
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Agent vs Agent: shield vs shield
Draw!
Final Score: 1.1 - 1.1
